TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
edu.osu.cs362.Appt,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9847435897435897,355,351
edu.osu.cs362.CalDay,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9497690670793635,255,240
edu.osu.cs362.TimeTable,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.705933751874063,202,114
